accuracy,precision,recall,f1,false_negative_rate,false_positive_rate,Embedding Type,PCA Component,Model Type
0.7466,0.8254891591750396,0.6248999199359487,0.7113237639553429,0.3751000800640512,0.13189448441247,AngleEmbedding,2,Classical
0.876,0.8365005378271781,0.934321185422507,0.8827090427544457,0.0656788145774929,0.1821813823411905,IQPEmbedding,4,Classical
0.9866,0.976470588235294,0.9971966359631558,0.9867247870021796,0.0028033640368442,0.0239712345185777,IQPEmbedding,6,Classical
0.9164,0.8564527260179434,0.999194847020934,0.9223337049424006,0.000805152979066,0.1653418124006359,AngleEmbedding,8,Classical
0.9668,0.939156401642404,0.998809051210798,0.9680646402462486,0.001190948789202,0.0656993147924224,AngleEmbedding,10,Classical
