accuracy,precision,recall,f1,confusion_matrix
0.455,0.5377358490566038,0.48717948717948717,0.5112107623318386,"[[34 49]
 [60 57]]"
0.49,0.5625,0.47368421052631576,0.5142857142857142,"[[44 42]
 [60 54]]"
0.51,0.5531914893617021,0.48148148148148145,0.5148514851485149,"[[50 42]
 [56 52]]"
0.555,0.6210526315789474,0.5267857142857143,0.5700483091787439,"[[52 36]
 [53 59]]"
0.52,0.4897959183673469,0.5106382978723404,0.5,"[[56 50]
 [46 48]]"
0.535,0.5483870967741935,0.5,0.5230769230769231,"[[56 42]
 [51 51]]"
0.515,0.5151515151515151,0.51,0.5125628140703518,"[[52 48]
 [49 51]]"
0.53,0.5851063829787234,0.5,0.5392156862745098,"[[51 39]
 [55 55]]"
0.505,0.5217391304347826,0.5769230769230769,0.547945205479452,"[[41 55]
 [44 60]]"
0.535,0.5806451612903226,0.5,0.5373134328358209,"[[53 39]
 [54 54]]"
0.545,0.5045045045045045,0.6086956521739131,0.5517241379310345,"[[53 55]
 [36 56]]"
0.58,0.6213592233009708,0.5871559633027523,0.6037735849056604,"[[52 39]
 [45 64]]"
0.58,0.6228070175438597,0.6339285714285714,0.6283185840707964,"[[45 43]
 [41 71]]"
0.535,0.5434782608695652,0.49504950495049505,0.5181347150259067,"[[57 42]
 [51 50]]"
0.585,0.5982905982905983,0.660377358490566,0.6278026905829597,"[[47 47]
 [36 70]]"
0.595,0.59,0.5959595959595959,0.592964824120603,"[[60 41]
 [40 59]]"
0.59,0.6916666666666667,0.6484375,0.6693548387096774,"[[35 37]
 [45 83]]"
0.61,0.6302521008403361,0.6880733944954128,0.6578947368421053,"[[47 44]
 [34 75]]"
0.605,0.6203703703703703,0.638095238095238,0.6291079812206573,"[[54 41]
 [38 67]]"
0.61,0.6216216216216216,0.6571428571428571,0.6388888888888888,"[[53 42]
 [36 69]]"
0.62,0.6470588235294118,0.6226415094339622,0.6346153846153846,"[[58 36]
 [40 66]]"
0.64,0.6697247706422018,0.6697247706422018,0.6697247706422018,"[[55 36]
 [36 73]]"
0.63,0.646551724137931,0.6944444444444444,0.6696428571428571,"[[51 41]
 [33 75]]"
0.665,0.6666666666666666,0.7115384615384616,0.6883720930232559,"[[59 37]
 [30 74]]"
0.66,0.6875,0.7,0.6936936936936937,"[[55 35]
 [33 77]]"
0.65,0.696078431372549,0.6454545454545455,0.6698113207547169,"[[59 31]
 [39 71]]"
0.66,0.6611570247933884,0.7476635514018691,0.7017543859649122,"[[52 41]
 [27 80]]"
0.605,0.6666666666666666,0.6260869565217392,0.6457399103139013,"[[49 36]
 [43 72]]"
0.68,0.6842105263157895,0.7358490566037735,0.7090909090909091,"[[58 36]
 [28 78]]"
0.665,0.6929824561403509,0.7117117117117117,0.7022222222222222,"[[54 35]
 [32 79]]"
0.67,0.6694214876033058,0.7570093457943925,0.7105263157894737,"[[53 40]
 [26 81]]"
0.635,0.638095238095238,0.6568627450980392,0.6473429951690821,"[[60 38]
 [35 67]]"
0.655,0.6495726495726496,0.7307692307692307,0.6877828054298643,"[[55 41]
 [28 76]]"
0.66,0.7338709677419355,0.7222222222222222,0.728,"[[41 33]
 [35 91]]"
