accuracy,precision,recall,f1,confusion_matrix
0.51,0.5196078431372549,0.5196078431372549,0.5196078431372549,"[[49 49]
 [49 53]]"
0.54,0.5625,0.5192307692307693,0.54,"[[54 42]
 [50 54]]"
0.49,0.5233644859813084,0.5233644859813084,0.5233644859813084,"[[42 51]
 [51 56]]"
0.49,0.5631067961165048,0.5043478260869565,0.5321100917431193,"[[40 45]
 [57 58]]"
0.47,0.5666666666666667,0.4322033898305085,0.49038461538461536,"[[43 39]
 [67 51]]"
0.525,0.5700934579439252,0.5545454545454546,0.5622119815668203,"[[44 46]
 [49 61]]"
0.535,0.5670103092783505,0.5188679245283019,0.541871921182266,"[[52 42]
 [51 55]]"
0.51,0.5568181818181818,0.4537037037037037,0.5,"[[53 39]
 [59 49]]"
0.47,0.46,0.46938775510204084,0.46464646464646464,"[[48 54]
 [52 46]]"
0.51,0.5416666666666666,0.49056603773584906,0.5148514851485149,"[[50 44]
 [54 52]]"
0.525,0.5384615384615384,0.4803921568627451,0.5077720207253886,"[[56 42]
 [53 49]]"
0.48,0.4594594594594595,0.5368421052631579,0.49514563106796117,"[[45 60]
 [44 51]]"
0.565,0.6111111111111112,0.514018691588785,0.5583756345177665,"[[58 35]
 [52 55]]"
0.495,0.5204081632653061,0.4857142857142857,0.5024630541871922,"[[48 47]
 [54 51]]"
0.525,0.5446428571428571,0.580952380952381,0.5622119815668203,"[[44 51]
 [44 61]]"
0.525,0.5376344086021505,0.49019607843137253,0.5128205128205128,"[[55 43]
 [52 50]]"
0.485,0.5212765957446809,0.45794392523364486,0.48756218905472637,"[[48 45]
 [58 49]]"
0.53,0.6020408163265306,0.5175438596491229,0.5566037735849056,"[[47 39]
 [55 59]]"
0.47,0.5257731958762887,0.4594594594594595,0.49038461538461536,"[[43 46]
 [60 51]]"
0.415,0.46296296296296297,0.45871559633027525,0.4608294930875576,"[[33 58]
 [59 50]]"
0.545,0.5486725663716814,0.6078431372549019,0.5767441860465117,"[[47 51]
 [40 62]]"
0.495,0.5321100917431193,0.5370370370370371,0.5345622119815668,"[[41 51]
 [50 58]]"
0.52,0.5221238938053098,0.5841584158415841,0.5514018691588785,"[[45 54]
 [42 59]]"
0.525,0.5652173913043478,0.5909090909090909,0.5777777777777777,"[[40 50]
 [45 65]]"
0.485,0.4537037037037037,0.5268817204301075,0.48756218905472637,"[[48 59]
 [44 49]]"
0.53,0.5470085470085471,0.6095238095238096,0.5765765765765766,"[[42 53]
 [41 64]]"
0.465,0.5357142857142857,0.5217391304347826,0.5286343612334802,"[[33 52]
 [55 60]]"
0.515,0.5309734513274337,0.5769230769230769,0.5529953917050692,"[[43 53]
 [44 60]]"
0.48,0.48598130841121495,0.5148514851485149,0.5,"[[44 55]
 [49 52]]"
0.53,0.5420560747663551,0.5631067961165048,0.5523809523809524,"[[48 49]
 [45 58]]"
0.57,0.6938775510204082,0.5483870967741935,0.6126126126126126,"[[46 30]
 [56 68]]"
0.535,0.5490196078431373,0.5436893203883495,0.5463414634146342,"[[51 46]
 [47 56]]"
0.545,0.5862068965517241,0.6126126126126126,0.5991189427312775,"[[41 48]
 [43 68]]"
0.57,0.5339805825242718,0.5913978494623656,0.5612244897959183,"[[59 48]
 [38 55]]"
0.485,0.5663716814159292,0.5423728813559322,0.5541125541125541,"[[33 49]
 [54 64]]"
0.55,0.5409836065573771,0.66,0.5945945945945946,"[[44 56]
 [34 66]]"
0.505,0.5289256198347108,0.6037735849056604,0.5638766519823789,"[[37 57]
 [42 64]]"
0.505,0.5446428571428571,0.5596330275229358,0.5520361990950227,"[[40 51]
 [48 61]]"
0.54,0.5793650793650794,0.6517857142857143,0.6134453781512605,"[[35 53]
 [39 73]]"
0.53,0.6101694915254238,0.6,0.6050420168067226,"[[34 46]
 [48 72]]"
0.59,0.5922330097087378,0.6039603960396039,0.5980392156862745,"[[57 42]
 [40 61]]"
0.465,0.48672566371681414,0.5288461538461539,0.5069124423963134,"[[38 58]
 [49 55]]"
0.45,0.4628099173553719,0.5544554455445545,0.5045045045045045,"[[34 65]
 [45 56]]"
0.54,0.5641025641025641,0.616822429906542,0.5892857142857143,"[[42 51]
 [41 66]]"
0.53,0.5689655172413793,0.6,0.584070796460177,"[[40 50]
 [44 66]]"
0.5,0.512,0.6213592233009708,0.5614035087719298,"[[36 61]
 [39 64]]"
0.5,0.5161290322580645,0.6153846153846154,0.5614035087719298,"[[36 60]
 [40 64]]"
0.505,0.47619047619047616,0.6451612903225806,0.547945205479452,"[[41 66]
 [33 60]]"
0.535,0.5619834710743802,0.6296296296296297,0.5938864628820961,"[[39 53]
 [40 68]]"
0.485,0.5042016806722689,0.5769230769230769,0.5381165919282511,"[[37 59]
 [44 60]]"
0.54,0.5304347826086957,0.6161616161616161,0.5700934579439252,"[[47 54]
 [38 61]]"
0.52,0.5645161290322581,0.625,0.5932203389830508,"[[34 54]
 [42 70]]"
0.52,0.5289256198347108,0.6213592233009708,0.5714285714285714,"[[40 57]
 [39 64]]"
0.495,0.5461538461538461,0.6283185840707964,0.5843621399176955,"[[28 59]
 [42 71]]"
0.56,0.5785123966942148,0.6542056074766355,0.6140350877192983,"[[42 51]
 [37 70]]"
0.555,0.5396825396825397,0.6868686868686869,0.6044444444444445,"[[43 58]
 [31 68]]"
0.545,0.5942028985507246,0.7008547008547008,0.6431372549019608,"[[27 56]
 [35 82]]"
0.57,0.582089552238806,0.7222222222222222,0.6446280991735537,"[[36 56]
 [30 78]]"
0.515,0.5338983050847458,0.6,0.5650224215246636,"[[40 55]
 [42 63]]"
0.505,0.5354330708661418,0.6296296296296297,0.5787234042553191,"[[33 59]
 [40 68]]"
0.57,0.5652173913043478,0.75,0.6446280991735537,"[[36 60]
 [26 78]]"
0.485,0.5037037037037037,0.6538461538461539,0.5690376569037657,"[[29 67]
 [36 68]]"
0.56,0.5833333333333334,0.7,0.6363636363636364,"[[35 55]
 [33 77]]"
0.485,0.49264705882352944,0.6633663366336634,0.5654008438818565,"[[30 69]
 [34 67]]"
0.505,0.5398230088495575,0.5648148148148148,0.5520361990950227,"[[40 52]
 [47 61]]"
0.485,0.5467625899280576,0.6551724137931034,0.596078431372549,"[[21 63]
 [40 76]]"
0.545,0.5864661654135338,0.6842105263157895,0.631578947368421,"[[31 55]
 [36 78]]"
0.485,0.536,0.5982142857142857,0.5654008438818565,"[[30 58]
 [45 67]]"
