accuracy,precision,recall,f1,confusion_matrix
0.485,0.49572649572649574,0.5686274509803921,0.5296803652968036,"[[39 59]
 [44 58]]"
0.55,0.5514705882352942,0.7211538461538461,0.625,"[[35 61]
 [29 75]]"
0.525,0.546875,0.6542056074766355,0.5957446808510638,"[[35 58]
 [37 70]]"
0.505,0.5555555555555556,0.6956521739130435,0.6177606177606177,"[[21 64]
 [35 80]]"
0.505,0.5703703703703704,0.652542372881356,0.6086956521739131,"[[24 58]
 [41 77]]"
0.475,0.52,0.5909090909090909,0.5531914893617021,"[[30 60]
 [45 65]]"
0.545,0.5572519083969466,0.6886792452830188,0.6160337552742616,"[[36 58]
 [33 73]]"
0.515,0.5433070866141733,0.6388888888888888,0.5872340425531914,"[[34 58]
 [39 69]]"
0.505,0.49612403100775193,0.6530612244897959,0.5638766519823789,"[[37 65]
 [34 64]]"
0.485,0.5114503816793893,0.6320754716981132,0.5654008438818565,"[[30 64]
 [39 67]]"
0.5,0.5078125,0.6372549019607843,0.5652173913043478,"[[35 63]
 [37 65]]"
0.535,0.5075757575757576,0.7052631578947368,0.5903083700440529,"[[40 65]
 [28 67]]"
0.5,0.5259259259259259,0.6635514018691588,0.5867768595041323,"[[29 64]
 [36 71]]"
0.435,0.4701492537313433,0.6,0.5271966527196653,"[[24 71]
 [42 63]]"
0.565,0.5642857142857143,0.7523809523809524,0.6448979591836734,"[[34 61]
 [26 79]]"
0.54,0.5324675324675324,0.803921568627451,0.640625,"[[26 72]
 [20 82]]"
0.535,0.5538461538461539,0.6728971962616822,0.6075949367088608,"[[35 58]
 [35 72]]"
0.495,0.5528455284552846,0.5964912280701754,0.5738396624472574,"[[31 55]
 [46 68]]"
0.475,0.5220588235294118,0.6396396396396397,0.5748987854251012,"[[24 65]
 [40 71]]"
0.56,0.5813953488372093,0.6880733944954128,0.6302521008403361,"[[37 54]
 [34 75]]"
0.55,0.5428571428571428,0.7450980392156863,0.628099173553719,"[[34 64]
 [26 76]]"
0.575,0.5815602836879432,0.7592592592592593,0.6586345381526104,"[[33 59]
 [26 82]]"
0.495,0.5,0.7029702970297029,0.5843621399176955,"[[28 71]
 [30 71]]"
0.555,0.5755395683453237,0.7272727272727273,0.642570281124498,"[[31 59]
 [30 80]]"
0.465,0.4492753623188406,0.6666666666666666,0.5367965367965368,"[[31 76]
 [31 62]]"
0.51,0.5267175572519084,0.6571428571428571,0.5847457627118644,"[[33 62]
 [36 69]]"
0.57,0.5973154362416108,0.7739130434782608,0.6742424242424242,"[[25 60]
 [26 89]]"
0.54,0.5416666666666666,0.75,0.6290322580645161,"[[30 66]
 [26 78]]"
0.505,0.5064102564102564,0.7821782178217822,0.6147859922178989,"[[22 77]
 [22 79]]"
0.515,0.5208333333333334,0.7281553398058253,0.6072874493927125,"[[28 69]
 [28 75]]"
0.585,0.6413793103448275,0.75,0.6914498141263941,"[[24 52]
 [31 93]]"
0.54,0.539568345323741,0.7281553398058253,0.6198347107438017,"[[33 64]
 [28 75]]"
0.54,0.5683453237410072,0.7117117117117117,0.632,"[[29 60]
 [32 79]]"
0.495,0.4714285714285714,0.7096774193548387,0.5665236051502146,"[[33 74]
 [27 66]]"
0.61,0.6408450704225352,0.7711864406779662,0.7,"[[31 51]
 [27 91]]"
0.525,0.5182481751824818,0.71,0.5991561181434599,"[[34 66]
 [29 71]]"
0.51,0.527027027027027,0.7358490566037735,0.6141732283464567,"[[24 70]
 [28 78]]"
0.57,0.5714285714285714,0.8440366972477065,0.6814814814814815,"[[22 69]
 [17 92]]"
0.59,0.6071428571428571,0.7589285714285714,0.6746031746031746,"[[33 55]
 [27 85]]"
0.565,0.6,0.825,0.6947368421052632,"[[14 66]
 [21 99]]"
0.535,0.527027027027027,0.7722772277227723,0.6265060240963856,"[[29 70]
 [23 78]]"
0.495,0.5103448275862069,0.7115384615384616,0.5943775100401606,"[[25 71]
 [30 74]]"
0.555,0.5422535211267606,0.7623762376237624,0.6337448559670782,"[[34 65]
 [24 77]]"
0.52,0.5359477124183006,0.7663551401869159,0.6307692307692307,"[[22 71]
 [25 82]]"
0.575,0.5838926174496645,0.7909090909090909,0.6718146718146718,"[[28 62]
 [23 87]]"
0.56,0.5510204081632653,0.7864077669902912,0.648,"[[31 66]
 [22 81]]"
0.59,0.5723684210526315,0.8365384615384616,0.6796875,"[[31 65]
 [17 87]]"
0.51,0.48344370860927155,0.7849462365591398,0.5983606557377049,"[[29 78]
 [20 73]]"
0.575,0.5761589403973509,0.8055555555555556,0.6718146718146718,"[[28 64]
 [21 87]]"
0.53,0.5328947368421053,0.7788461538461539,0.6328125,"[[25 71]
 [23 81]]"
