Episode,FPR_Classical,FNR_Classical,FPR_Hybrid,FNR_Hybrid
1,0.4939759036144578,0.6068376068376068,0.6020408163265306,0.43137254901960786
2,0.5581395348837209,0.5789473684210527,0.6354166666666666,0.27884615384615385
3,0.4891304347826087,0.5648148148148148,0.6236559139784946,0.34579439252336447
4,0.4318181818181818,0.5446428571428571,0.7529411764705882,0.30434782608695654
5,0.4339622641509434,0.5,0.7073170731707317,0.3474576271186441
6,0.42857142857142855,0.4215686274509804,0.6666666666666666,0.4090909090909091
7,0.34,0.56,0.6170212765957447,0.3113207547169811
8,0.5555555555555556,0.4818181818181818,0.6304347826086957,0.3611111111111111
9,0.3645833333333333,0.38461538461538464,0.6372549019607843,0.3469387755102041
10,0.31521739130434784,0.3425925925925926,0.6808510638297872,0.36792452830188677
11,0.4074074074074074,0.391304347826087,0.6428571428571429,0.3627450980392157
12,0.32967032967032966,0.3853211009174312,0.6190476190476191,0.29473684210526313
13,0.3522727272727273,0.375,0.6881720430107527,0.3364485981308411
14,0.3434343434343434,0.4158415841584158,0.7473684210526316,0.4
15,0.26595744680851063,0.33962264150943394,0.6421052631578947,0.24761904761904763
16,0.36633663366336633,0.37373737373737376,0.7346938775510204,0.19607843137254902
17,0.4583333333333333,0.3359375,0.6236559139784946,0.32710280373831774
18,0.24175824175824176,0.3394495412844037,0.6395348837209303,0.40350877192982454
19,0.35789473684210527,0.3142857142857143,0.7303370786516854,0.36036036036036034
20,0.3368421052631579,0.3238095238095238,0.5934065934065934,0.3119266055045872
21,0.3723404255319149,0.3018867924528302,0.6530612244897959,0.2549019607843137
22,0.3076923076923077,0.3486238532110092,0.6413043478260869,0.24074074074074073
23,0.358695652173913,0.28703703703703703,0.7171717171717171,0.297029702970297
24,0.3645833333333333,0.3942307692307692,0.6555555555555556,0.2727272727272727
25,0.37777777777777777,0.35454545454545455,0.7102803738317757,0.3333333333333333
26,0.3333333333333333,0.3090909090909091,0.6526315789473685,0.34285714285714286
27,0.3118279569892473,0.29906542056074764,0.7058823529411765,0.22608695652173913
28,0.43529411764705883,0.3565217391304348,0.6875,0.25
29,0.3191489361702128,0.29245283018867924,0.7777777777777778,0.21782178217821782
30,0.3258426966292135,0.27927927927927926,0.711340206185567,0.27184466019417475
31,0.27956989247311825,0.27102803738317754,0.6842105263157895,0.25
32,0.29591836734693877,0.23529411764705882,0.6597938144329897,0.27184466019417475
33,0.3333333333333333,0.28846153846153844,0.6741573033707865,0.2882882882882883
34,0.3108108108108108,0.3492063492063492,0.6915887850467289,0.2903225806451613
35,0.3469387755102041,0.19607843137254902,0.6219512195121951,0.2288135593220339
36,0.2967032967032967,0.3577981651376147,0.66,0.29
37,0.3048780487804878,0.3135593220338983,0.7446808510638298,0.2641509433962264
38,0.32608695652173914,0.23148148148148148,0.7582417582417582,0.1559633027522936
39,0.30392156862745096,0.2653061224489796,0.625,0.24107142857142858
40,0.3010752688172043,0.27102803738317754,0.825,0.175
41,0.27906976744186046,0.23684210526315788,0.7070707070707071,0.22772277227722773
42,0.3894736842105263,0.3047619047619048,0.7395833333333334,0.28846153846153844
43,0.2839506172839506,0.226890756302521,0.6565656565656566,0.2376237623762376
44,0.2127659574468085,0.22641509433962265,0.7634408602150538,0.2336448598130841
45,0.3229166666666667,0.27884615384615385,0.6888888888888889,0.20909090909090908
46,0.21875,0.19230769230769232,0.6804123711340206,0.21359223300970873
47,0.3132530120481928,0.2564102564102564,0.6770833333333334,0.16346153846153846
48,0.2916666666666667,0.16346153846153846,0.7289719626168224,0.21505376344086022
49,0.25252525252525254,0.24752475247524752,0.6956521739130435,0.19444444444444445
50,0.22988505747126436,0.23893805309734514,0.7395833333333334,0.22115384615384615
51,0.2608695652173913,0.2037037037037037,0.6831683168316832,0.15151515151515152
52,0.17525773195876287,0.22330097087378642,0.6363636363636364,0.16964285714285715
53,0.26262626262626265,0.13861386138613863,0.7216494845360825,0.1941747572815534
54,0.30973451327433627,0.19540229885057472,0.6436781609195402,0.1592920353982301
55,0.23,0.19,0.7956989247311828,0.2616822429906542
56,0.27884615384615385,0.20833333333333334,0.7128712871287128,0.1919191919191919
57,0.1744186046511628,0.15789473684210525,0.7469879518072289,0.28205128205128205
58,0.18,0.17,0.717391304347826,0.12962962962962962
59,0.23655913978494625,0.22429906542056074,0.6947368421052632,0.1619047619047619
60,0.32989690721649484,0.13592233009708737,0.7282608695652174,0.25
61,0.34782608695652173,0.1574074074074074,0.65625,0.2403846153846154
62,0.20618556701030927,0.1650485436893204,0.7395833333333334,0.15384615384615385
63,0.25555555555555554,0.12727272727272726,0.6777777777777778,0.16363636363636364
64,0.1827956989247312,0.17757009345794392,0.7171717171717171,0.24752475247524752
65,0.1875,0.18269230769230768,0.7717391304347826,0.18518518518518517
66,0.19318181818181818,0.24107142857142858,0.6547619047619048,0.1896551724137931
67,0.2604166666666667,0.11538461538461539,0.7325581395348837,0.17543859649122806
68,0.2553191489361702,0.16037735849056603,0.7272727272727273,0.16964285714285715
69,0.34444444444444444,0.12727272727272726,0.6213592233009708,0.17525773195876287
70,0.23529411764705882,0.20408163265306123,0.7,0.16363636363636364
71,0.23958333333333334,0.19230769230769232,0.7362637362637363,0.1926605504587156
72,0.25882352941176473,0.1826086956521739,0.7570093457943925,0.23655913978494625
73,0.27450980392156865,0.14285714285714285,0.6304347826086957,0.19444444444444445
74,0.21978021978021978,0.1743119266055046,0.839622641509434,0.18085106382978725
75,0.26881720430107525,0.205607476635514,0.6701030927835051,0.21359223300970873
76,0.27058823529411763,0.1565217391304348,0.7604166666666666,0.23076923076923078
77,0.2376237623762376,0.06060606060606061,0.6504854368932039,0.16494845360824742
78,0.23255813953488372,0.10526315789473684,0.7252747252747253,0.22935779816513763
79,0.2736842105263158,0.12380952380952381,0.7216494845360825,0.14563106796116504
80,0.28421052631578947,0.1619047619047619,0.7403846153846154,0.17708333333333334
81,0.2857142857142857,0.13725490196078433,0.6774193548387096,0.19626168224299065
82,0.25555555555555554,0.09090909090909091,0.7722772277227723,0.20202020202020202
83,0.27184466019417475,0.15463917525773196,0.7469879518072289,0.2222222222222222
84,0.2222222222222222,0.12605042016806722,0.7346938775510204,0.13725490196078433
85,0.26666666666666666,0.07272727272727272,0.7317073170731707,0.1864406779661017
86,0.21739130434782608,0.14814814814814814,0.7319587628865979,0.1650485436893204
87,0.20930232558139536,0.15789473684210525,0.6601941747572816,0.16494845360824742
88,0.27906976744186046,0.12280701754385964,0.6354166666666666,0.1346153846153846
89,0.23170731707317074,0.1016949152542373,0.6893203883495146,0.12371134020618557
90,0.16346153846153846,0.14583333333333334,0.6851851851851852,0.10869565217391304
91,0.19101123595505617,0.08108108108108109,0.8350515463917526,0.21359223300970873
92,0.2608695652173913,0.16666666666666666,0.8,0.13636363636363635
93,0.21,0.11,0.7227722772277227,0.24242424242424243
94,0.2647058823529412,0.12244897959183673,0.6585365853658537,0.1440677966101695
95,0.20212765957446807,0.1320754716981132,0.7157894736842105,0.13333333333333333
96,0.30275229357798167,0.15384615384615385,0.7446808510638298,0.08490566037735849
97,0.25287356321839083,0.13274336283185842,0.7553191489361702,0.10377358490566038
98,0.22916666666666666,0.15384615384615385,0.7263157894736842,0.08571428571428572
99,0.25333333333333335,0.128,0.7916666666666666,0.11538461538461539
100,0.17391304347826086,0.09259259259259259,0.7127659574468085,0.10377358490566038
101,0.24175824175824176,0.14678899082568808,0.7311827956989247,0.1308411214953271
102,0.12359550561797752,0.13513513513513514,0.75,0.08333333333333333
103,0.1797752808988764,0.12612612612612611,0.7708333333333334,0.125
104,0.30097087378640774,0.07216494845360824,0.6956521739130435,0.1574074074074074
105,0.21739130434782608,0.1388888888888889,0.7931034482758621,0.10619469026548672
106,0.1935483870967742,0.14018691588785046,0.7741935483870968,0.07476635514018691
107,0.17777777777777778,0.07272727272727272,0.6702127659574468,0.10377358490566038
108,0.19736842105263158,0.1935483870967742,0.7755102040816326,0.08823529411764706
109,0.16304347826086957,0.14814814814814814,0.83,0.14
110,0.18478260869565216,0.12037037037037036,0.7843137254901961,0.07142857142857142
111,0.2553191489361702,0.08490566037735849,0.7128712871287128,0.1414141414141414
112,0.20454545454545456,0.11607142857142858,0.7373737373737373,0.1782178217821782
113,0.30337078651685395,0.09009009009009009,0.7608695652173914,0.1111111111111111
114,0.1724137931034483,0.13274336283185842,0.73,0.15
115,0.28,0.1,0.7171717171717171,0.12871287128712872
116,0.2631578947368421,0.0761904761904762,0.7831325301204819,0.15384615384615385
117,0.2840909090909091,0.125,0.6951219512195121,0.13559322033898305
118,0.2857142857142857,0.0784313725490196,0.7653061224489796,0.11764705882352941
119,0.36046511627906974,0.13157894736842105,0.7373737373737373,0.12871287128712872
120,0.2441860465116279,0.17543859649122806,0.7204301075268817,0.16822429906542055
121,0.2647058823529412,0.12244897959183673,0.7040816326530612,0.08823529411764706
122,0.2,0.09090909090909091,0.7553191489361702,0.08490566037735849
123,0.28865979381443296,0.0970873786407767,0.7654320987654321,0.10084033613445378
124,0.1566265060240964,0.09401709401709402,0.6373626373626373,0.12844036697247707
125,0.26136363636363635,0.10714285714285714,0.7553191489361702,0.10377358490566038
126,0.19101123595505617,0.11711711711711711,0.7319587628865979,0.11650485436893204
127,0.25773195876288657,0.17475728155339806,0.6938775510204082,0.14705882352941177
