Episode,FPR_Classical,FNR_Classical,FPR_Hybrid,FNR_Hybrid
1,0.4939759036144578,0.6068376068376068,0.5918367346938775,0.4117647058823529
2,0.5581395348837209,0.5789473684210527,0.6458333333333334,0.27884615384615385
3,0.4891304347826087,0.5648148148148148,0.5698924731182796,0.3364485981308411
4,0.4318181818181818,0.5446428571428571,0.7058823529411765,0.2956521739130435
5,0.4339622641509434,0.5,0.7073170731707317,0.3389830508474576
6,0.42857142857142855,0.4215686274509804,0.6444444444444445,0.4
7,0.34,0.56,0.6382978723404256,0.3018867924528302
8,0.5555555555555556,0.4818181818181818,0.6304347826086957,0.35185185185185186
9,0.3645833333333333,0.38461538461538464,0.6274509803921569,0.336734693877551
10,0.31521739130434784,0.3425925925925926,0.6702127659574468,0.3584905660377358
11,0.4074074074074074,0.391304347826087,0.6428571428571429,0.3627450980392157
12,0.32967032967032966,0.3853211009174312,0.6285714285714286,0.29473684210526313
13,0.3522727272727273,0.375,0.6881720430107527,0.3364485981308411
14,0.3434343434343434,0.4158415841584158,0.7684210526315789,0.4
15,0.26595744680851063,0.33962264150943394,0.6526315789473685,0.24761904761904763
16,0.36633663366336633,0.37373737373737376,0.7346938775510204,0.19607843137254902
17,0.4583333333333333,0.3359375,0.6129032258064516,0.32710280373831774
18,0.24175824175824176,0.3394495412844037,0.6511627906976745,0.40350877192982454
19,0.35789473684210527,0.3142857142857143,0.7415730337078652,0.36936936936936937
20,0.3368421052631579,0.3238095238095238,0.6043956043956044,0.3211009174311927
21,0.3723404255319149,0.3018867924528302,0.6428571428571429,0.2549019607843137
22,0.3076923076923077,0.3486238532110092,0.6630434782608695,0.25
23,0.358695652173913,0.28703703703703703,0.7272727272727273,0.297029702970297
24,0.3645833333333333,0.3942307692307692,0.6555555555555556,0.2727272727272727
25,0.37777777777777777,0.35454545454545455,0.7009345794392523,0.3333333333333333
26,0.3333333333333333,0.3090909090909091,0.6526315789473685,0.34285714285714286
27,0.3118279569892473,0.29906542056074764,0.6941176470588235,0.22608695652173913
28,0.43529411764705883,0.3565217391304348,0.6770833333333334,0.28846153846153844
29,0.3191489361702128,0.29245283018867924,0.7777777777777778,0.22772277227722773
30,0.3258426966292135,0.27927927927927926,0.7319587628865979,0.27184466019417475
31,0.27956989247311825,0.27102803738317754,0.6973684210526315,0.25806451612903225
32,0.29591836734693877,0.23529411764705882,0.6701030927835051,0.2815533980582524
33,0.3333333333333333,0.28846153846153844,0.6853932584269663,0.2882882882882883
34,0.3108108108108108,0.3492063492063492,0.6915887850467289,0.3010752688172043
35,0.3469387755102041,0.19607843137254902,0.6585365853658537,0.23728813559322035
36,0.2967032967032967,0.3577981651376147,0.67,0.31
37,0.3048780487804878,0.3135593220338983,0.7446808510638298,0.27358490566037735
38,0.32608695652173914,0.23148148148148148,0.7692307692307693,0.1651376146788991
39,0.30392156862745096,0.2653061224489796,0.6477272727272727,0.24107142857142858
40,0.3010752688172043,0.27102803738317754,0.8125,0.2
41,0.27906976744186046,0.23684210526315788,0.7474747474747475,0.22772277227722773
42,0.3894736842105263,0.3047619047619048,0.75,0.28846153846153844
43,0.2839506172839506,0.226890756302521,0.6565656565656566,0.24752475247524752
44,0.2127659574468085,0.22641509433962265,0.7849462365591398,0.2336448598130841
45,0.3229166666666667,0.27884615384615385,0.6888888888888889,0.23636363636363636
46,0.21875,0.19230769230769232,0.6907216494845361,0.24271844660194175
47,0.3132530120481928,0.2564102564102564,0.6770833333333334,0.18269230769230768
48,0.2916666666666667,0.16346153846153846,0.7570093457943925,0.26881720430107525
49,0.25252525252525254,0.24752475247524752,0.7065217391304348,0.2037037037037037
50,0.22988505747126436,0.23893805309734514,0.75,0.25
51,0.2608695652173913,0.2037037037037037,0.693069306930693,0.16161616161616163
